Time,Fc,Zs,Zus,Zr
5.956,-4.33318,0.00302598,-0.00172412,-0.0021138
5.958,-4.29895,0.00284248,-0.00186049,-0.00230936
5.96,-4.26466,0.00262489,-0.00203096,-0.00247416
5.962,-4.23029,0.00245601,-0.00215272,-0.00257963
5.964,-4.19585,0.00231116,-0.00225987,-0.00265434
5.966,-4.16134,0.00220009,-0.00234266,-0.00271367
5.968,-4.12676,0.00191527,-0.00255209,-0.00283232
5.97,-4.09211,0.00175125,-0.00266898,-0.00289165
5.972,-4.05738,0.00157294,-0.00279074,-0.00295097
5.974,-4.02259,0.00138002,-0.00292711,-0.0030081
5.976,-3.98773,0.00125466,-0.00301478,-0.00307183
5.978,-3.9528,0.000965277,-0.00321933,-0.00324541
5.98,-3.9178,0.000541738,-0.00349208,-0.00363433
5.982,-3.88273,0.000397206,-0.00358948,-0.00377936
5.984,-3.84759,0.000218265,-0.00373073,-0.00388702
5.986,-3.81239,6.85E-05,-0.00384275,-0.00392438
5.988,-3.77712,-0.000192243,-0.00403756,-0.00392877
5.99,-3.74178,-0.000308185,-0.00412523,-0.00392877
5.992,-3.70638,-0.000429313,-0.00422751,-0.00394196
5.994,-3.67091,-0.000579663,-0.00435901,-0.00397052
5.996,-3.63538,-0.000719957,-0.00447103,-0.00402106
5.998,-3.59978,-0.00102003,-0.00471455,-0.0041507
6,-3.56412,-0.00122332,-0.00488014,-0.0043155
6.002,-3.52839,-0.00131067,-0.00495807,-0.00440119
6.004,-3.49261,-0.00142661,-0.00504573,-0.00447151
6.006,-3.45676,-0.00157146,-0.00515288,-0.00451545
6.008,-3.42084,-0.00169227,-0.00524542,-0.00454841
6.01,-3.38487,-0.00186147,-0.00537692,-0.00460554
6.012,-3.34883,-0.00198747,-0.00548407,-0.00464509
6.014,-3.31274,-0.00208912,-0.00556687,-0.00465828
6.016,-3.27658,-0.00219013,-0.00563018,-0.00466487
6.018,-3.24037,-0.00227685,-0.00568863,-0.00466926
6.02,-3.20409,-0.00234472,-0.00574707,-0.00467805
6.022,-3.16776,-0.00239279,-0.00577629,-0.00469124
6.024,-3.13137,-0.0025081,-0.00584448,-0.00473738
6.026,-3.09492,-0.00255586,-0.00586396,-0.00476375
6.028,-3.05841,-0.00261822,-0.00589805,-0.00478792
6.03,-3.02185,-0.00267604,-0.00593702,-0.0048011
6.032,-2.98523,-0.00272379,-0.0059565,-0.00480989
6.034,-2.94855,-0.00285795,-0.00602468,-0.00480989
6.036,-2.91182,-0.00293822,-0.00602956,-0.00480989
6.038,-2.87503,-0.0029522,-0.00602468,-0.00480989
6.04,-2.83819,-0.00299022,-0.00603443,-0.00480989
6.042,-2.8013,-0.00299901,-0.00601494,-0.00480769
6.044,-2.76435,-0.00302633,-0.00598572,-0.0048011
6.046,-2.72735,-0.00300167,-0.00595163,-0.00479671
6.048,-2.6903,-0.00301078,-0.00594189,-0.00479011
6.05,-2.6532,-0.00299098,-0.00591267,-0.00477913
6.052,-2.61604,-0.00297573,-0.00587857,-0.00476155
6.054,-2.57884,-0.00294588,-0.00582987,-0.00471321
6.056,-2.54158,-0.00287769,-0.00576168,-0.00464949
6.058,-2.50427,-0.00282412,-0.00570811,-0.00461433
6.06,-2.46692,-0.00278516,-0.00566915,-0.00458137
6.062,-2.42952,-0.00275106,-0.00563505,-0.00455061
6.064,-2.39207,-0.00270236,-0.00558635,-0.00451545
6.066,-2.35457,-0.00266827,-0.00555226,-0.00446931
6.068,-2.31702,-0.00255138,-0.00543537,-0.00435285
6.07,-2.27943,-0.00250267,-0.00538666,-0.00428474
6.072,-2.24179,-0.00243449,-0.00531848,-0.00421222
6.074,-2.2041,-0.00236143,-0.00524542,-0.00414411
6.076,-2.16638,-0.00229812,-0.00518211,-0.0040716
6.078,-2.1286,-0.00215688,-0.00504086,-0.00389142
6.08,-2.09078,-0.00193252,-0.00480708,-0.0035816
6.082,-2.05292,-0.00182537,-0.00469994,-0.00348712
6.084,-2.01502,-0.00171822,-0.00459279,-0.00342779
6.086,-1.97707,-0.00163056,-0.00450512,-0.00340801
6.088,-1.93909,-0.0014692,-0.00432492,-0.00336187
6.09,-1.90106,-0.00138122,-0.00422751,-0.00331353
6.092,-1.86299,-0.00127375,-0.00411062,-0.00324102
6.094,-1.82488,-0.00116173,-0.0039986,-0.00314653
6.096,-1.78673,-0.00103023,-0.0038671,-0.00305205
6.098,-1.74854,-0.00074775,-0.00358461,-0.00283012
6.1,-1.71032,-0.000494489,-0.00333135,-0.00253129
6.102,-1.67205,-0.000401951,-0.00323882,-0.00236649
6.104,-1.63375,-0.000280191,-0.00311706,-0.00223246
6.106,-1.59541,-0.00013895,-0.00297581,-0.00214456
6.108,-1.55704,-1.23E-05,-0.00284918,-0.00207425
6.11,-1.51863,0.000362702,-0.00247416,-0.00182376
6.112,-1.48018,0.000479907,-0.00234753,-0.00172708
6.114,-1.4417,0.000611408,-0.00221603,-0.00164138
6.116,-1.40319,0.000752966,-0.00206505,-0.00157986
6.118,-1.36464,0.000908818,-0.0019092,-0.00150955
6.12,-1.32606,0.00128871,-0.00152931,-0.00112282
6.122,-1.28744,0.0014056,-0.00141242,-0.00096022
