Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.544,0,0.544,0.00312896,0.544,0.00252774,0.544,0.00252774
0.546,0,0.546,0.00313774,0.546,0.00253261,0.546,0.00253261
0.548,0,0.548,0.00315532,0.548,0.00254722,0.548,0.00254722
0.55,0,0.55,0.00317949,0.55,0.0025667,0.55,0.0025667
0.552,0,0.552,0.00319048,0.552,0.00257644,0.552,0.00257644
0.554,0,0.554,0.00319927,0.554,0.00259105,0.554,0.00259105
0.556,0,0.556,0.00320806,0.556,0.00260079,0.556,0.00260079
0.558,0,0.558,0.00321904,0.558,0.00261053,0.558,0.00261053
0.56,0,0.56,0.00323882,0.56,0.00263489,0.56,0.00263489
0.562,0,0.562,0.00326079,0.562,0.00265924,0.562,0.00265924
0.564,0,0.564,0.00327178,0.564,0.00267385,0.564,0.00267385
0.566,0,0.566,0.00327837,0.566,0.00268359,0.566,0.00268359
0.568,0,0.568,0.00328716,0.568,0.0026982,0.568,0.0026982
0.57,0,0.57,0.00329595,0.57,0.00271281,0.57,0.00271281
0.572,0,0.572,0.00331353,0.572,0.00274204,0.572,0.00274204
0.574,0,0.574,0.0033377,0.574,0.00277126,0.574,0.00277126
0.576,0,0.576,0.00334869,0.576,0.00278587,0.576,0.00278587
0.578,0,0.578,0.00335967,0.578,0.00279561,0.578,0.00279561
0.58,0,0.58,0.00336846,0.58,0.00281022,0.58,0.00281022
0.582,0,0.582,0.00337725,0.582,0.00282483,0.582,0.00282483
0.584,0,0.584,0.00339922,0.584,0.00285405,0.584,0.00285405
0.586,0,0.586,0.0034212,0.586,0.00288328,0.586,0.00288328
0.588,0,0.588,0.00343438,0.588,0.00289789,0.588,0.00289789
0.59,0,0.59,0.00344537,0.59,0.0029125,0.59,0.0029125
0.592,0,0.592,0.00345416,0.592,0.00292711,0.592,0.00292711
0.594,0,0.594,0.00346294,0.594,0.00294172,0.594,0.00294172
0.596,0,0.596,0.00348492,0.596,0.00297581,0.596,0.00297581
0.598,0,0.598,0.00350909,0.598,0.00300991,0.598,0.00300991
0.6,0,0.6,0.00352227,0.6,0.00302939,0.6,0.00302939
0.602,0,0.602,0.00353326,0.602,0.003044,0.602,0.003044
0.604,0,0.604,0.00354424,0.604,0.00306348,0.604,0.00306348
0.606,0,0.606,0.00355303,0.606,0.00307809,0.606,0.00307809
0.608,0,0.608,0.00357501,0.608,0.00311219,0.608,0.00311219
0.61,0,0.61,0.00360137,0.61,0.00315115,0.61,0.00315115
0.612,0,0.612,0.00361236,0.612,0.00316576,0.612,0.00316576
0.614,0,0.614,0.00362335,0.614,0.00318524,0.614,0.00318524
0.616,0,0.616,0.00363214,0.616,0.00319985,0.616,0.00319985
0.618,0,0.618,0.00364312,0.618,0.00321446,0.618,0.00321446
0.62,0,0.62,0.0036629,0.62,0.00324856,0.62,0.00324856
0.622,0,0.622,0.00368927,0.622,0.00327778,0.622,0.00327778
0.624,0,0.624,0.00370025,0.624,0.00329726,0.624,0.00329726
0.626,0,0.626,0.00371124,0.626,0.00331187,0.626,0.00331187
0.628,0,0.628,0.00372003,0.628,0.00332161,0.628,0.00332161
0.63,0,0.63,0.00372882,0.63,0.00333622,0.63,0.00333622
0.632,0,0.632,0.00375299,0.632,0.00336545,0.632,0.00336545
0.634,0,0.634,0.00378155,0.634,0.00339467,0.634,0.00339467
0.636,0,0.636,0.00379474,0.636,0.00340928,0.636,0.00340928
