Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.408,0.806467,0.408,0.00744445,0.408,0.00683317,0.408,0.00662583
0.41,0.809667,0.41,0.00746643,0.41,0.00685752,0.41,0.00665018
0.412,0.812848,0.412,0.007484,0.412,0.006877,0.412,0.00666966
0.414,0.816009,0.414,0.00750378,0.414,0.00689649,0.414,0.00668914
0.416,0.819151,0.416,0.00755212,0.416,0.00693545,0.416,0.0067281
0.418,0.822273,0.418,0.00760486,0.418,0.00698415,0.418,0.00677681
0.42,0.825375,0.42,0.00763122,0.42,0.00700851,0.42,0.00680116
0.422,0.828456,0.422,0.00765539,0.422,0.00702799,0.422,0.00682064
0.424,0.831518,0.424,0.00767517,0.424,0.0070426,0.424,0.00683525
0.426,0.834559,0.426,0.00769494,0.426,0.00706208,0.426,0.00685473
0.428,0.837579,0.428,0.00774109,0.428,0.00709617,0.428,0.00688883
0.43,0.840578,0.43,0.00778943,0.43,0.00713514,0.43,0.00692779
0.432,0.843556,0.432,0.0078158,0.432,0.00715462,0.432,0.00694727
0.434,0.846512,0.434,0.00783777,0.434,0.00716923,0.434,0.00696188
0.436,0.849447,0.436,0.00785535,0.436,0.00717897,0.436,0.00697162
0.438,0.85236,0.438,0.00787512,0.438,0.00718871,0.438,0.00698136
0.44,0.855251,0.44,0.00792127,0.44,0.0072228,0.44,0.00701546
0.442,0.85812,0.442,0.0079718,0.442,0.00725203,0.442,0.00704468
0.444,0.860967,0.444,0.00799817,0.444,0.00726664,0.444,0.00705929
0.446,0.863791,0.446,0.00802015,0.446,0.00728125,0.446,0.0070739
0.448,0.866592,0.448,0.00803992,0.448,0.00729099,0.448,0.00708364
0.45,0.86937,0.45,0.0080575,0.45,0.00730073,0.45,0.00709338
0.452,0.872125,0.452,0.00809925,0.452,0.00732508,0.452,0.00711774
0.454,0.874856,0.454,0.00814319,0.454,0.00734943,0.454,0.00714209
0.456,0.877564,0.456,0.00816297,0.456,0.00735917,0.456,0.00715183
0.458,0.880248,0.458,0.00818055,0.458,0.00737379,0.458,0.00716644
0.46,0.882908,0.46,0.00819593,0.46,0.00738353,0.46,0.00717618
0.462,0.885543,0.462,0.00821131,0.462,0.0073884,0.462,0.00718105
0.464,0.888154,0.464,0.00824866,0.464,0.00740788,0.464,0.00720053
0.466,0.890741,0.466,0.00829261,0.466,0.00743223,0.466,0.00722488
